bin_left_px,bin_right_px,count,sum_length_px
2.0,6.300406443627325,13,38.55634918610404
6.300406443627325,10.60081288725465,8,63.355339059327385
10.60081288725465,14.901219330881975,6,79.59797974644667
14.901219330881975,19.2016257745093,6,105.25483399593905
19.2016257745093,23.502032218136623,3,64.35533905932738
23.502032218136623,27.80243866176395,4,98.01219330881977
27.80243866176395,32.102845105391275,2,59.31370849898477
32.102845105391275,36.4032515490186,2,66.9411254969543
36.4032515490186,40.70365799264592,5,195.49747468305833
40.70365799264592,45.00406443627325,4,175.75230867899734
45.00406443627325,49.30447087990057,2,93.46803743153546
49.30447087990057,53.6048773235279,1,52.769552621700484
53.6048773235279,57.905283767155225,4,225.82337649086287
57.905283767155225,62.20569021078255,1,58.112698372208065
62.20569021078255,66.50609665440987,2,132.32590180780448
66.50609665440987,70.8065030980372,3,205.92388155425112
70.8065030980372,75.10690954166452,1,73.79898987322332
75.10690954166452,79.40731598529185,1,78.59797974644665
79.40731598529185,83.70772242891917,0,0.0
83.70772242891917,88.0081288725465,0,0.0
88.0081288725465,92.30853531617382,0,0.0
92.30853531617382,96.60894175980114,0,0.0
96.60894175980114,100.90934820342846,1,97.56854249492378
100.90934820342846,105.2097546470558,0,0.0
105.2097546470558,109.51016109068313,0,0.0
109.51016109068313,113.81056753431045,1,112.41421356237309
113.81056753431045,118.11097397793777,0,0.0
118.11097397793777,122.4113804215651,0,0.0
122.4113804215651,126.71178686519242,0,0.0
126.71178686519242,131.01219330881975,2,261.23759005323586
